Time Elapsed,Remaining Count,Non-empty Corridor Count,Average Density Over Capacity
5.41E-05,750,0,NaN
3.20000000000042,749,403,0.112360928623349
3.50000000000052,747,395,0.112445489775427
3.70000000000049,745,383,0.11448159132894
3.80000000000055,744,375,0.115548292873811
3.90000000000054,743,364,0.118697268559841
4.00000000000057,742,365,0.11830207206913
4.10000000000048,741,366,0.118732732841036
4.20000000000037,739,366,0.119137648204968
4.70000000000009,738,367,0.119760304171374
4.79999999999992,737,363,0.121135690161002
4.99999999999984,735,353,0.121958777509446
5.09999999999976,733,339,0.126634617835807
5.5999999999996,732,309,0.137802374450347
5.79999999999942,730,304,0.138462053809102
6.0999999999994,729,311,0.135684687851674
6.19999999999937,727,314,0.133552181719082
6.39999999999892,725,315,0.13292012363714
6.59999999999889,724,313,0.13224724914517
6.69999999999894,723,314,0.131298320051217
6.79999999999901,721,309,0.13274659476429
6.89999999999885,719,306,0.133103821878074
6.9999999999987,717,304,0.13367538715738
7.19999999999854,716,287,0.141481152240713
7.29999999999863,715,283,0.143103818144217
7.39999999999868,713,283,0.142404792687611
7.49999999999872,712,284,0.14130262016289
7.69999999999895,710,277,0.144239515051893
7.89999999999913,708,278,0.142713230876533
8.099999999999,706,288,0.136606931266067
8.1999999999989,701,290,0.133803852463334
8.29999999999884,700,290,0.133471882352896
8.39999999999882,699,288,0.133960081649973
8.59999999999878,698,287,0.13159282333005
8.69999999999902,696,289,0.130064923946521
8.79999999999894,695,294,0.127793669752348
8.89999999999883,693,301,0.124535407034952
8.99999999999862,692,302,0.124423870550429
9.09999999999833,689,293,0.12705684707526
9.39999999999806,688,284,0.129951653100327
9.79999999999838,685,271,0.137979792704589
9.89999999999887,682,268,0.140668349195818
9.99999999999905,680,268,0.14002896185151
10.0999999999995,678,275,0.137162056183879
10.1999999999999,677,279,0.134903803685212
10.3,676,286,0.132869557789915
10.4000000000002,675,286,0.132477727561292
10.5000000000007,674,292,0.129694932247879
10.6000000000007,672,288,0.132195329163578
10.800000000001,671,290,0.129807711622451
10.900000000001,669,285,0.13212706256401
11.2000000000017,667,280,0.135270896101148
11.300000000002,665,281,0.134390373122164
11.4000000000021,662,280,0.133769649663559
11.5000000000024,660,273,0.136839066195287
11.6000000000025,659,270,0.138370918886653
11.7000000000025,656,276,0.135132730704872
11.8000000000028,654,270,0.13868865395568
11.9000000000031,652,263,0.141786665273505
12.1000000000039,651,263,0.141382539943436
12.2000000000046,650,262,0.140194501627146
12.3000000000048,649,264,0.138587467454643
12.4000000000052,648,263,0.137776591554571
12.5000000000058,647,266,0.13649944704982
12.6000000000062,646,267,0.136266940559172
12.7000000000066,645,266,0.136904266744103
12.800000000007,643,266,0.135974990040341
12.9000000000073,642,269,0.135276998820872
13.0000000000077,640,267,0.135979246026236
13.1000000000082,639,266,0.137031211339393
13.2000000000085,637,260,0.139087837983907
13.300000000009,635,257,0.139755859948975
13.4000000000088,634,255,0.140079268178138
13.6000000000085,633,251,0.142236987132636
13.700000000008,631,244,0.146399027311507
13.8000000000078,628,239,0.149413092274663
13.9000000000074,625,234,0.152214309005577
14.0000000000072,624,235,0.151846654563996
14.2000000000067,619,244,0.144359817368656
14.3000000000066,618,247,0.141821036904279
14.4000000000063,617,251,0.139668629601142
14.5000000000061,616,254,0.137382471342974
14.7000000000059,615,256,0.136314719435744
14.8000000000057,613,254,0.136783514643223
14.9000000000053,612,252,0.13689267731473
15.000000000005,610,251,0.13611448260693
15.1000000000048,608,255,0.133429557719843
15.6000000000038,604,242,0.136252282154278
15.7000000000037,602,241,0.136012318625779
16.0000000000033,601,239,0.135244159999649
16.100000000003,599,239,0.136163398756188
16.200000000003,598,240,0.135241931328762
16.3000000000031,596,242,0.134134956202276
16.4000000000025,595,247,0.131553081665598
16.5000000000019,594,242,0.133199560060677
16.8999999999998,591,238,0.133483273599586
17,589,239,0.133159172198602
17.0999999999997,587,241,0.131686993172154
17.1999999999994,585,236,0.131673648751715
17.4999999999977,584,228,0.135726309072613
17.5999999999979,581,226,0.136681065543708
17.699999999998,580,225,0.13801242807747
17.899999999998,579,219,0.141669717167105
18.0999999999982,576,219,0.141819528824868
18.1999999999984,575,217,0.143544438949999
18.3999999999987,574,223,0.139750789342734
18.4999999999981,573,223,0.13921092064143
18.599999999998,571,225,0.137803964258302
18.699999999998,569,226,0.136701910492374
18.7999999999982,568,227,0.136006940679435
18.8999999999977,565,223,0.138816839173162
19.0999999999973,563,217,0.141596661759255
19.1999999999968,561,218,0.140514099995422
19.3999999999963,560,214,0.143316781370395
19.4999999999963,559,207,0.147688256159984
19.5999999999968,558,206,0.148744761512687
19.6999999999971,557,203,0.151758022804954
19.7999999999972,554,202,0.15235067084666
19.8999999999971,553,197,0.154988155459061
19.9999999999976,551,200,0.151601967289109
20.0999999999983,550,199,0.151763315909729
20.2999999999994,549,198,0.153917602604154
20.4999999999999,547,204,0.147521276316568
20.7000000000006,545,204,0.146827809703128
20.8000000000013,541,207,0.143921549144296
20.9000000000019,539,206,0.145002048067093
21.1000000000022,538,212,0.138650484665751
21.3000000000029,537,208,0.140624276323689
21.5000000000036,535,210,0.138646603156229
21.6000000000035,533,208,0.139869711484416
21.7000000000031,529,206,0.139409983194914
21.8000000000029,528,200,0.141355594676995
21.9000000000034,527,196,0.14395848987704
22.0000000000044,526,199,0.143580528848078
22.200000000005,523,200,0.142514259292971
22.3000000000054,521,203,0.141219571857035
22.4000000000059,519,204,0.14017200959763
23.0000000000063,518,206,0.141376842516417
23.1000000000068,516,203,0.143132132105021
